field_id,concept_id,field_name,semantic_type,required,target_concept_id,status
F0111,C012,approved_on,timestamp,false,,proposed
F0112,C024,name,string,true,,proposed
F0113,C024,description,text,false,,proposed
F0114,C024,start_date,date,true,,proposed
F0115,C024,end_date,date,false,,proposed
F0116,C024,budget,decimal,false,,proposed
F0117,C024,is_active,boolean,true,,proposed
F0118,C025,code,string,true,,proposed
F0119,C025,discount_type,string,true,,proposed
F0120,C025,discount_value,decimal,true,,proposed
F0121,C025,valid_from,date,true,,proposed
F0122,C025,valid_until,date,false,,proposed
F0123,C025,max_uses,integer,false,,proposed
F0124,C025,used_count,integer,true,,proposed
F0125,C026,source_channel,string,true,,proposed
F0126,C026,status,string,true,,proposed
F0127,C026,first_name,string,false,,proposed
F0128,C026,last_name,string,false,,proposed
F0129,C026,email,string,false,,proposed
F0130,C026,phone_number,string,false,,proposed
F0131,C026,campaign_id,reference,false,C024,proposed
F0132,C027,metric_name,string,true,,proposed
F0133,C027,metric_value,decimal,true,,proposed
F0134,C027,period_start,date,true,,proposed
F0135,C027,period_end,date,true,,proposed
F0136,C027,campaign_id,reference,false,C024,proposed
F0137,C023,line_number,integer,true,,proposed
F0138,C023,description,text,true,,proposed
F0139,C023,quantity,decimal,true,,proposed
F0140,C023,unit_price,decimal,true,,proposed
F0141,C023,line_total,decimal,true,,proposed
F0142,C023,taxable_amount,decimal,true,,proposed
F0143,C023,product_reference,string,false,,proposed
F0144,C028,payment_date,date,true,,proposed
F0145,C028,amount,decimal,true,,proposed
F0146,C028,payment_method,string,true,,proposed
F0147,C028,transaction_reference,string,false,,proposed
F0148,C028,status,string,true,,proposed
F0149,C028,invoice_id,reference,true,C029,proposed
F0150,C029,invoice_number,string,true,,proposed
F0151,C029,issue_date,date,true,,proposed
F0152,C029,due_date,date,true,,proposed
F0153,C029,total_amount,decimal,true,,proposed
F0154,C029,status,string,true,,proposed
F0155,C029,customer_id,reference,true,C013,proposed
F0156,C029,billing_information_id,reference,false,C015,proposed
F0157,C030,expense_date,date,true,,proposed
F0158,C030,category,string,true,,proposed
F0159,C030,amount,decimal,true,,proposed
F0160,C030,vendor_name,string,false,,proposed
F0161,C030,receipt_reference,string,false,,proposed
F0162,C030,is_reimbursable,boolean,true,,proposed
F0163,C031,rate_name,string,true,,proposed
F0164,C031,rate_value,decimal,true,,proposed
F0165,C031,effective_start_date,date,true,,proposed
F0166,C031,effective_end_date,date,false,,proposed
F0167,C031,is_active,boolean,true,,proposed
F0168,C031,jurisdiction,string,true,,proposed
F0169,C032,base_amount,decimal,true,,proposed
F0170,C032,vat_rate_id,reference,true,C031,proposed
F0171,C032,vat_value,decimal,true,,proposed
F0172,C032,calculation_method,string,true,,proposed
F0173,C033,period_start,date,true,,proposed
F0174,C033,period_end,date,true,,proposed
F0175,C033,total_revenue,decimal,true,,proposed
F0176,C033,total_expenses,decimal,true,,proposed
F0177,C033,net_profit,decimal,true,,proposed
F0178,C033,report_type,string,true,,proposed
F0179,C039,contract_number,string,true,,proposed
F0180,C039,start_date,date,true,,proposed
F0181,C039,end_date,date,true,,proposed
F0182,C039,status,string,true,,proposed
F0183,C039,customer_id,reference,true,C013,proposed
F0184,C039,terms_text,text,false,,proposed
F0185,C040,policy_number,string,true,,proposed
F0186,C040,provider_name,string,true,,proposed
F0187,C040,coverage_type,string,true,,proposed
F0188,C040,premium_amount,decimal,true,,proposed
F0189,C040,effective_date,date,true,,proposed
F0190,C040,expiry_date,date,true,,proposed
F0191,C040,is_active,boolean,true,,proposed
F0192,C041,template_name,string,true,,proposed
F0193,C041,category,string,true,,proposed
F0194,C041,body_content,text,true,,proposed
F0195,C041,is_active,boolean,true,,proposed
F0196,C042,document_name,string,true,,proposed
F0197,C042,template_id,reference,true,C041,proposed
F0198,C042,generated_at,timestamp,true,,proposed
F0199,C042,file_path,string,false,,proposed
F0200,C042,related_entity_type,string,true,,proposed
F0201,C042,related_entity_id,string,true,,proposed
F0202,C043,action_type,string,true,,proposed
F0203,C043,performed_by,reference,true,C044,proposed
F0204,C043,target_entity_type,string,true,,proposed
F0205,C043,target_entity_id,string,true,,proposed
F0206,C043,change_summary,text,false,,proposed
F0207,C043,occurred_at,timestamp,true,,proposed
F0208,C044,username,string,true,,proposed
F0209,C044,email,string,true,,proposed
F0210,C044,password_hash,string,true,,proposed
F0211,C044,is_active,boolean,true,,proposed
F0212,C044,last_login_timestamp,timestamp,false,,proposed
F0213,C044,failed_login_count,integer,false,,proposed
F0214,C045,role_name,string,true,,proposed
F0215,C045,description,text,false,,proposed
F0216,C045,is_system_role,boolean,true,,proposed
F0217,C045,scope,string,true,,proposed
F0218,C046,permission_name,string,true,,proposed
F0219,C046,resource_type,string,true,,proposed
F0220,C046,action_type,string,true,,proposed
F0221,C046,description,text,false,,proposed
F0222,C046,is_public,boolean,true,,proposed
F0223,C047,username,string,true,,proposed
F0224,C047,password_hash,string,true,,proposed
F0225,C047,last_login_timestamp,timestamp,false,,proposed
F0226,C047,is_active,boolean,true,,proposed
F0227,C047,failed_login_count,integer,true,,proposed
F0228,C047,user_id,reference,true,C044,proposed
F0229,C048,role_name,string,true,,proposed
F0230,C048,description,text,false,,proposed
F0231,C048,is_system_role,boolean,true,,proposed
F0232,C048,role_id,reference,true,C045,proposed
F0233,C048,permission_id,reference,true,C046,proposed
F0234,C055,resource_name,string,true,,proposed
F0235,C055,action_type,string,true,,proposed
F0236,C055,is_public,boolean,true,,proposed
F0237,C055,role_id,reference,false,C045,proposed
F0238,C055,user_id,reference,false,C044,proposed
F0239,C050,entity_type,string,true,,proposed
F0240,C050,entity_id,string,true,,proposed
F0241,C050,version_number,integer,true,,proposed
F0242,C050,snapshot_data,text,true,,proposed
F0243,C050,changed_by_user_id,reference,true,C044,proposed
F0244,C050,change_reason,text,false,,proposed
F0245,C051,is_deleted,boolean,true,,proposed
F0246,C051,deleted_at,timestamp,true,,proposed
F0247,C051,deleted_by_user_id,reference,true,C044,proposed
F0248,C051,deletion_reason,text,false,,proposed
F0249,C051,restore_deadline,timestamp,false,,proposed
F0250,C058,scope_type,string,true,,proposed
F0251,C058,scope_reference_id,string,false,,proposed
F0252,C058,retention_duration_days,integer,true,,proposed
F0253,C058,action_on_expiry,string,true,,proposed
F0254,C058,is_active,boolean,true,,proposed
F0255,C058,legal_basis,text,false,,proposed
F0256,C049,actor_id,string,true,,proposed
F0257,C049,action_type,string,true,,proposed
F0258,C049,target_entity_type,string,true,,proposed
F0259,C049,target_entity_id,string,true,,proposed
F0260,C049,change_summary,text,false,,proposed
F0261,C049,ip_address,string,false,,proposed
F0262,C049,user_agent,string,false,,proposed
F0263,C049,session_id,string,false,,proposed
F0264,C056,record_type,string,true,,proposed
F0265,C056,regulation_code,string,true,,proposed
F0266,C056,status,string,true,,proposed
F0267,C056,valid_from,date,true,,proposed
F0268,C056,valid_until,date,false,,proposed
F0269,C056,document_instance_id,reference,false,C042,proposed
F0270,C056,notes,text,false,,proposed
F0271,C057,event_type,string,true,,proposed
F0272,C057,severity,string,true,,proposed
F0273,C057,source_system,string,true,,proposed
F0274,C057,payload,text,false,,proposed
F0275,C057,correlation_id,string,false,,proposed
F0276,C057,is_processed,boolean,true,,proposed
F0277,C052,channel,string,true,,proposed
F0278,C052,status,string,true,,proposed
F0279,C052,recipient_identifier,string,true,,proposed
F0280,C052,subject,string,true,,proposed
F0281,C052,body,text,true,,proposed
F0282,C052,sent_at,timestamp,false,,proposed
F0283,C052,template_id,reference,true,C059,proposed
F0284,C052,trigger_event_id,reference,false,C057,proposed
F0285,C053,hook_name,string,true,,proposed
F0286,C053,event_type,string,true,,proposed
F0287,C053,endpoint_url,string,true,,proposed
F0288,C053,method,string,true,,proposed
F0289,C053,enabled,boolean,true,,proposed
F0290,C053,timeout_seconds,integer,true,,proposed
F0291,C053,retry_count,integer,true,,proposed
F0292,C053,secret_key,string,false,,proposed
F0293,C059,template_name,string,true,,proposed
F0294,C059,channel,string,true,,proposed
F0295,C059,subject_template,string,true,,proposed
F0296,C059,body_template,text,true,,proposed
F0297,C059,locale,string,true,,proposed
F0298,C059,is_active,boolean,true,,proposed
F0299,C054,name,string,true,,proposed
F0300,C054,provider_name,string,true,,proposed
F0301,C054,is_active,boolean,true,,proposed
F0302,C054,base_url,string,true,,proposed
F0303,C054,auth_type,string,true,,proposed
F0304,C054,description,text,false,,proposed
F0305,C060,integration_id,reference,true,C054,proposed
F0306,C060,url,string,true,,proposed
F0307,C060,event_types,string,true,,proposed
F0308,C060,is_active,boolean,true,,proposed
F0309,C060,secret_key,string,true,,proposed
F0310,C060,last_triggered_at,timestamp,false,,proposed
F0311,C061,integration_id,reference,true,C054,proposed
F0312,C061,key_value,string,true,,proposed
F0313,C061,is_active,boolean,true,,proposed
F0314,C061,expires_at,date,false,,proposed
F0315,C061,scope,string,true,,proposed
F0316,C061,created_by_user_id,reference,true,C044,proposed
F0317,C034,license_plate,string,true,,proposed
F0318,C034,vin,string,true,,proposed
F0319,C034,make,string,true,,proposed
F0320,C034,model,string,true,,proposed
F0321,C034,year,integer,true,,proposed
F0322,C034,capacity_kg,decimal,true,,proposed
F0323,C034,status,string,true,,proposed
F0324,C035,serial_number,string,true,,proposed
F0325,C035,category,string,true,,proposed
F0326,C035,condition_score,integer,true,,proposed
F0327,C035,purchase_date,date,true,,proposed
F0328,C035,is_active,boolean,true,,proposed
F0329,C036,item_name,string,true,,proposed
F0330,C036,unit_of_measure,string,true,,proposed
F0331,C036,current_stock,integer,true,,proposed
F0332,C036,reorder_threshold,integer,true,,proposed
F0333,C036,unit_cost,decimal,true,,proposed
F0334,C037,asset_type,string,true,,proposed
F0335,C037,asset_id,string,true,,proposed
F0336,C037,frequency_days,integer,true,,proposed
F0337,C037,next_due_date,date,true,,proposed
F0338,C037,is_active,boolean,true,,proposed
F0339,C038,asset_type,string,true,,proposed
F0340,C038,asset_id,string,true,,proposed
F0341,C038,performed_date,date,true,,proposed
F0342,C038,description,text,true,,proposed
F0343,C038,cost,decimal,true,,proposed
F0344,C038,technician_name,string,true,,proposed
