group operations_logistics
group employees_payroll
group customers_contacts
group products_services
group marketing_sales
group finance_accounting
group assets_maintenance
group administration_compliance
group user_role_management
group security_audit
group notifications_automation
group api_integration
group versioning_lifecycle
group root_domain

concept moving_company root_domain root
concept invoice_period finance_accounting ambiguous
concept expense_category finance_accounting ambiguous
concept vat_rate finance_accounting ambiguous
concept vehicle_model assets_maintenance ambiguous
concept equipment_class assets_maintenance ambiguous
concept consumable_unit assets_maintenance ambiguous
concept maintenance_interval assets_maintenance ambiguous
concept contract_term administration_compliance ambiguous
concept policy_coverage administration_compliance ambiguous
concept archive_format administration_compliance ambiguous
concept log_retention administration_compliance ambiguous
concept account_status user_role_management ambiguous
concept permission_level user_role_management ambiguous
concept token_expiry security_audit ambiguous
concept policy_rule security_audit ambiguous
concept audit_entry security_audit ambiguous
concept snapshot_data versioning_lifecycle ambiguous
concept deletion_date versioning_lifecycle ambiguous
concept message_body notifications_automation ambiguous
concept hook_payload notifications_automation ambiguous
concept endpoint_path api_integration ambiguous
concept credential_secret api_integration ambiguous

relation moving_company manages move_order
relation moving_company manages staff_registry
relation moving_company manages private_customer
relation moving_company manages corporate_customer
relation moving_company manages moving_service
relation moving_company manages marketing_campaign
relation moving_company manages payment_transaction
relation moving_company manages vehicle_asset
relation moving_company manages contract_document
relation moving_company manages user_account
relation moving_company manages authentication_token
relation moving_company manages notification_message
relation moving_company manages api_endpoint
relation moving_company manages version_snapshot
relation move_order requires route_plan
relation move_order scheduled_in time_slot
relation move_order generates fulfillment_event
relation move_order linked_to address_record
relation staff_registry assigned_via job_assignment
relation job_assignment records worked_hours
relation worked_hours feeds payroll_calculation
relation payroll_calculation includes bonus_record
relation staff_registry submits leave_request
relation private_customer has contact_person
relation corporate_customer has contact_person
relation private_customer has billing_profile
relation corporate_customer has billing_profile
relation billing_profile generates billing_history
relation moving_service defined_by service_configuration
relation cleaning_service defined_by service_configuration
relation box_rental defined_by service_configuration
relation service_configuration priced_by pricing_rule
relation marketing_campaign issues discount_code
relation marketing_campaign generates sales_lead
relation sales_lead tracked_by conversion_metric
relation payment_transaction settles invoice_document
relation invoice_document records expense_record
relation invoice_document calculates vat_summary
relation vehicle_asset undergoes maintenance_log
relation equipment_asset undergoes maintenance_log
relation consumable_item tracked_by maintenance_log
relation contract_document covers insurance_policy
relation contract_document stored_in document_archive
relation contract_document logged_in audit_log
relation user_account assigned_to role_definition
relation user_account authenticates_via authentication_token
relation role_definition enforces rbac_policy
relation rbac_policy records activity_audit
relation user_account creates version_snapshot
relation user_account sets soft_delete_flag
relation automation_hook sends notification_message
relation api_endpoint exposes automation_hook
relation api_endpoint secured_by integration_credential
relation version_snapshot captures soft_delete_flag
relation activity_audit references version_snapshot
relation notification_message triggered_by automation_hook
relation integration_credential authorizes api_endpoint
relation soft_delete_flag hides version_snapshot
relation audit_log tracks activity_audit
relation document_archive stores contract_document
relation insurance_policy validates contract_document
relation maintenance_log monitors vehicle_asset
relation maintenance_log monitors equipment_asset
relation maintenance_log monitors consumable_item
relation vat_summary aggregates payment_transaction
relation expense_record offsets invoice_document
relation invoice_document bills payment_transaction
relation conversion_metric measures sales_lead
relation sales_lead originates_from marketing_campaign
relation discount_code applies_to marketing_campaign
relation pricing_rule governs service_configuration
relation service_configuration defines moving_service
relation service_configuration defines cleaning_service
relation service_configuration defines box_rental
relation billing_history reflects billing_profile
relation billing_profile belongs_to private_customer
relation billing_profile belongs_to corporate_customer
relation contact_person represents private_customer
relation contact_person represents corporate_customer
relation address_record locates move_order
relation fulfillment_event updates move_order
relation time_slot constrains move_order
relation route_plan optimizes move_order
relation leave_request affects staff_registry
relation bonus_record supplements payroll_calculation
relation payroll_calculation sums worked_hours
relation worked_hours derives_from job_assignment
relation job_assignment allocates staff_registry
relation staff_registry employs personnel
relation corporate_customer contracts moving_company
relation private_customer contracts moving_company
relation moving_service sold_to private_customer
relation moving_service sold_to corporate_customer
relation cleaning_service sold_to private_customer
relation cleaning_service sold_to corporate_customer
relation box_rental rented_by private_customer
relation box_rental rented_by corporate_customer
relation marketing_campaign targets private_customer
relation marketing_campaign targets corporate_customer
relation payment_transaction pays invoice_document
relation invoice_document charges private_customer
relation invoice_document charges corporate_customer
relation vehicle_asset supports move_order
relation equipment_asset supports move_order
relation consumable_item supports move_order
relation contract_document binds corporate_customer
relation contract_document binds private_customer
relation insurance_policy protects vehicle_asset
relation insurance_policy protects equipment_asset
relation document_archive retains contract_document
relation audit_log monitors user_account
relation role_definition grants rbac_policy
relation authentication_token validates user_account
relation rbac_policy restricts api_endpoint
relation activity_audit logs user_account
relation version_snapshot preserves user_account
relation soft_delete_flag marks user_account
relation notification_message alerts user_account
relation automation_hook invokes api_endpoint
relation api_endpoint consumes integration_credential
relation integration_credential protects api_endpoint
relation version_snapshot archives soft_delete_flag
relation soft_delete_flag suppresses version_snapshot
relation audit_log captures activity_audit
relation document_archive indexes contract_document
relation insurance_policy renews contract_document
relation maintenance_log schedules vehicle_asset
relation maintenance_log schedules equipment_asset
relation maintenance_log schedules consumable_item
relation vat_summary reports payment_transaction
relation expense_record reduces invoice_document
relation invoice_document requests payment_transaction
relation conversion_metric evaluates sales_lead
relation sales_lead converts from marketing_campaign
relation discount_code discounts marketing_campaign
relation pricing_rule sets service_configuration
relation service_configuration specifies moving_service
relation service_configuration specifies cleaning_service
relation service_configuration specifies box_rental
relation billing_history tracks billing_profile
relation billing_profile links private_customer
relation billing_profile links corporate_customer
relation contact_person contacts private_customer
relation contact_person contacts corporate_customer
relation address_record maps move_order
relation fulfillment_event progresses move_order
relation time_slot books move_order
relation route_plan guides move_order
relation leave_request pauses staff_registry
relation bonus_record adds payroll_calculation
relation payroll_calculation totals worked_hours
relation worked_hours logs job_assignment
relation job_assignment assigns staff_registry
relation staff_registry registers personnel
relation corporate_customer hires moving_company
relation private_customer hires moving_company
relation moving_service serves private_customer
relation moving_service serves corporate_customer
relation cleaning_service serves private_customer
relation cleaning_service serves corporate_customer
relation box_rental serves private_customer
relation box_rental serves corporate_customer
relation marketing_campaign reaches private_customer
relation marketing_campaign reaches corporate_customer
relation payment_transaction clears invoice_document
relation invoice_document bills private_customer
relation invoice_document bills corporate_customer
relation vehicle_asset assists move_order
relation equipment_asset assists move_order
relation consumable_item assists move_order
relation contract_document secures corporate_customer
relation contract_document secures private_customer
relation insurance_policy insures vehicle_asset
relation insurance_policy insures equipment_asset
relation document_archive files contract_document
relation audit_log watches user_account
relation role_definition defines rbac_policy
relation authentication_token signs user_account
relation rbac_policy limits api_endpoint
relation activity_audit records user_account
relation version_snapshot saves user_account
relation soft_delete_flag flags user_account
relation notification_message notifies user_account
relation automation_hook calls api_endpoint
relation api_endpoint uses integration_credential
relation integration_credential guards api_endpoint
relation version_snapshot keeps soft_delete_flag
relation soft_delete_flag hides version_snapshot
relation audit_log notes activity_audit
relation document_archive holds contract_document
relation insurance_policy covers contract_document
relation maintenance_log checks vehicle_asset
relation maintenance_log checks equipment_asset
relation maintenance_log checks consumable_item
relation vat_summary totals payment_transaction
relation expense_record deducts invoice_document
relation invoice_document demands payment_transaction
relation conversion_metric scores sales_lead
relation sales_lead stems from marketing_campaign
relation discount_code reduces marketing_campaign
relation pricing_rule prices service_configuration
relation service_configuration details moving_service
relation service_configuration details cleaning_service
relation service_configuration details box_rental
relation billing_history shows billing_profile
relation billing_profile ties private_customer
relation billing_profile ties corporate_customer
relation contact_person speaks for private_customer
relation contact_person speaks for corporate_customer
relation address_record places move_order
relation fulfillment_event advances move_order
relation time_slot reserves move_order
relation route_plan directs move_order
relation leave_request suspends staff_registry
relation bonus_record boosts payroll_calculation
relation payroll_calculation aggregates worked_hours
